,경매구분코드,경매구분코드명,도매시장법인코드,산지코드,산지명2,경락일자,거래량,도매시장법인명,거래가격,출하구분코드,출하구분명,일련번호,포장상태코드,포장상태명,산지명,등급코드,품종명,거래규격단위코드,거래단위명,도매시장코드,도매시장명,경매시간
78781,1,경매,25000102,539000,전라남도 진도군,20200302,300,대전청과(주),1030,2.0,계통,853700,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78778,1,경매,25000102,535000,전라남도 신안군,20200302,230,대전청과(주),1260,2.0,계통,853300,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78782,1,경매,25000102,539000,전라남도 진도군,20200302,250,대전청과(주),1050,2.0,계통,853800,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78777,1,경매,25000102,535000,전라남도 신안군,20200302,230,대전청과(주),1250,2.0,계통,853200,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78783,1,경매,25000102,539000,전라남도 진도군,20200302,250,대전청과(주),1060,2.0,계통,853900,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78784,1,경매,25000102,539000,전라남도 진도군,20200302,100,대전청과(주),1900,2.0,계통,854000,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78786,1,경매,25000102,539000,전라남도 진도군,20200302,100,대전청과(주),2100,2.0,계통,854200,111,단,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78780,1,경매,25000102,535000,전라남도 신안군,20200302,100,대전청과(주),2300,2.0,계통,853500,111,단,전라남도 신안군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78837,1,경매,25000301,536000,전라남도 해남군,20200302,250,대전중앙청과,700,4.0,상인,691,111,단,전라남도 해남군,1Z,대파(일반),12,kg,250003,대전노은도매시장,
78792,5,,25000102,539000,전라남도 진도군,20200302,150,대전청과(주),8500,3.0,개별,854900,101,상자,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78788,1,경매,25000102,536000,전라남도 해남군,20200302,331,대전청과(주),1020,4.0,상인,854500,111,단,전라남도 해남군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78789,1,경매,25000102,536000,전라남도 해남군,20200302,300,대전청과(주),1020,4.0,상인,854600,111,단,전라남도 해남군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78790,1,경매,25000102,536000,전라남도 해남군,20200302,150,대전청과(주),1500,4.0,상인,854700,111,단,전라남도 해남군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78791,5,,25000102,539000,전라남도 진도군,20200302,150,대전청과(주),8500,3.0,개별,854800,101,상자,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
78793,5,,25000102,539000,전라남도 진도군,20200302,150,대전청과(주),8500,3.0,개별,855000,101,상자,전라남도 진도군,1Z,대파(일반),12,kg,250001,대전오정도매시장,
